time,id,temp
1521711507963,T3,27.62
1521711508995,T1,25.44
1521711510029,T2,23.87
1521711516062,T3,27.69
1521711517095,T1,25.50
1521711518129,T2,23.87
1521711524162,T3,27.69
1521711525196,T1,25.44
1521711526228,T2,23.87
1521711532262,T3,27.69
1521711533296,T1,25.50
1521711534329,T2,23.87
1521711596351,T3,27.81
1521711597384,T1,25.50
1521711598420,T2,23.87
1521711604450,T3,27.81
1521711605484,T1,25.44
1521711606518,T2,23.81
1521711612550,T3,27.75
1521711613584,T1,25.44
1521711614618,T2,23.87
1521711620650,T3,27.75
1521711621684,T1,25.44
1521711622718,T2,23.87
1521711628754,T3,27.75
1521711629784,T1,25.44
1521711630817,T2,23.87
1521711636851,T3,27.81
1521711637884,T1,25.44
1521711638918,T2,23.87
1521711644950,T3,27.81
1521711645984,T1,25.44
1521711647018,T2,23.87
1521711653051,T3,27.81
1521711654085,T1,25.50
1521711655117,T2,23.87
1521711661152,T3,27.87
1521711662185,T1,25.50
1521711663219,T2,23.87
1521711669252,T3,27.94
1521711670286,T1,25.44
1521711671319,T2,23.94
1521711677352,T3,27.94
1521711678386,T1,25.44
1521711679419,T2,23.94
1521711685453,T3,28.00
1521711686485,T1,25.37
1521711687520,T2,23.94
1521711693552,T1,25.44
1521711694585,T2,23.94
1521711700618,T1,25.44
1521711701652,T2,23.94
1521711707685,T1,25.50
1521711708719,T2,23.94
1521711715786,T1,25.81
1521711716820,T2,23.94
1521711723886,T1,26.94
1521711724920,T2,23.94
1521711730954,T3,39.31
1521711731987,T1,27.37
1521711733020,T2,23.94
1521711739053,T3,41.06
1521711740086,T1,27.56
1521711741120,T2,23.94
1521711747153,T3,40.25
1521711748187,T1,27.62
1521711749220,T2,23.94
1521711755254,T3,38.81
1521711756288,T1,27.44
1521711757320,T2,23.94
1521711763353,T3,38.13
1521711764387,T1,27.37
1521711765421,T2,23.94
1521711771453,T3,37.25
1521711772487,T1,27.19
1521711773520,T2,23.94
1521711779553,T3,36.69
1521711780587,T1,27.00
1521711781621,T2,23.94
1521711787652,T3,36.25
1521711788687,T1,26.87
1521711789721,T2,23.94
1521711795755,T3,35.81
1521711796787,T1,26.69
1521711797821,T2,23.94
1521711803854,T3,35.69
1521711804887,T1,26.62
1521711811955,T3,35.75
1521711812988,T1,26.62
1521711814020,T2,23.94
1521711820054,T3,35.50
1521711821087,T1,26.62
1521711822122,T2,23.94
1521711828154,T3,35.31
1521711829187,T1,26.50
1521711830221,T2,23.94
1521711836254,T3,35.19
1521711837288,T1,26.37
1521711838320,T2,23.94
1521711844354,T3,35.19
1521711845387,T1,26.31
1521711846421,T2,23.94
1521711852454,T3,35.13
1521711853487,T1,26.19
1521711854521,T2,23.94
1521711860554,T3,35.31
1521711861587,T1,26.19
1521711862620,T2,23.94
1521711868655,T3,35.56
1521711869687,T1,26.25
1521711870721,T2,23.94
1521711876756,T3,35.56
1521711877788,T1,26.25
1521711878821,T2,23.94
1521711884854,T3,35.31
1521711885888,T1,26.19
1521711886922,T2,23.94
1521711892956,T3,35.25
1521711893988,T1,26.12
1521711895021,T2,24.00
1521711901054,T3,35.13
1521711902087,T1,26.06
1521711903121,T2,23.94
1521711909154,T3,35.00
1521711910188,T1,26.00
1521711911220,T2,24.00
1521711917256,T3,34.81
1521711918287,T1,25.94
1521711919321,T2,23.94
1521711925354,T3,34.63
1521711926389,T1,25.87
1521711927420,T2,24.00
1521711933453,T3,34.44
1521711934488,T1,25.81
1521711935522,T2,23.94
1521711941554,T3,34.31
1521711942587,T1,25.75
1521711943621,T2,23.94
1521711949654,T3,34.25
1521711950688,T1,25.69
1521711951721,T2,23.94
1521711957754,T3,34.06
1521711958788,T1,25.62
1521711959822,T2,23.94
1521711965855,T3,33.94
