time,id,temp
1522160850566,T3,28.75
1522160851597,T1,24.75
1522160852639,T2,24.62
1522160858658,T3,28.06
1522160859713,T1,24.81
1522160860731,T2,24.56
1522160866762,T3,27.50
1522160867796,T1,24.81
1522160868827,T2,24.56
1522160874860,T3,27.06
1522160875904,T1,24.81
1522160876938,T2,24.56
1522160882970,T3,26.62
1522160883998,T1,24.87
1522160885042,T2,24.56
1522160891061,T3,26.31
1522160892102,T1,24.87
1522160893136,T2,24.56
1522160899162,T3,26.06
1522160900197,T1,24.87
1522160901224,T2,24.56
1522160907261,T3,25.87
1522160908310,T1,24.94
1522160909333,T2,24.56
1522160915376,T3,25.69
1522160916409,T1,24.87
1522160917442,T2,24.56
1522160923461,T3,25.56
1522160924503,T1,24.87
1522160925531,T2,24.56
1522160931562,T3,25.37
1522160932596,T1,24.81
1522160933633,T2,24.56
1522160939660,T3,25.31
1522160940699,T1,24.81
1522160941732,T2,24.56
1522160947764,T3,25.19
1522160948809,T1,24.81
1522160949827,T2,24.56
1522160955861,T3,25.06
1522160956915,T1,24.75
1522160957931,T2,24.56
1522160963965,T3,25.00
1522160964997,T1,24.75
1522160966029,T2,24.56
1522160972063,T3,24.94
1522160973113,T1,24.75
1522160974134,T2,24.56
1522160980169,T3,24.87
1522160981201,T1,24.75
1522160982242,T2,24.56
1522160988262,T3,24.75
1522160989304,T1,24.69
1522160990336,T2,24.56
1522160996365,T3,24.69
1522160997397,T1,24.62
1522160998441,T2,24.56
1522161004464,T3,24.62
1522161005501,T1,24.62
1522161006534,T2,24.56
1522161012567,T3,24.62
1522161013600,T1,24.62
1522161014634,T2,24.56
1522161020663,T3,24.56
1522161021701,T1,24.56
1522161022733,T2,24.56
1522161028765,T3,24.56
1522161029797,T1,24.56
1522161030841,T2,24.56
1522161036862,T3,24.50
1522161037900,T1,24.56
1522161038934,T2,24.56
1522161044960,T3,24.50
1522161045997,T1,24.56
1522161047030,T2,24.56
1522161053062,T3,24.56
1522161054108,T1,24.62
1522161055139,T2,24.56
1522161061162,T3,24.62
1522161062211,T1,24.75
1522161063240,T2,24.56
1522161069262,T3,29.87
1522161070301,T1,24.75
1522161071332,T2,24.62
1522161077364,T3,40.88
1522161078405,T1,24.69
1522161079431,T2,24.62
1522161085464,T3,46.06
1522161086502,T1,24.69
1522161087531,T2,24.62
1522161093563,T3,48.69
1522161094606,T1,24.75
1522161095630,T2,24.62
1522161101663,T3,50.06
1522161102700,T1,24.87
1522161103732,T2,24.69
1522161109765,T3,50.88
1522161110809,T1,24.94
1522161111842,T2,24.69
1522161117863,T3,51.38
1522161118903,T1,25.00
1522161119931,T2,24.69
1522161125978,T3,51.63
1522161127011,T1,24.94
1522161128040,T2,24.75
1522161134063,T3,51.75
1522161135101,T1,24.94
1522161136135,T2,24.75
1522161142165,T3,51.81
1522161143210,T1,24.94
1522161144236,T2,24.75
1522161150263,T3,51.88
1522161151302,T1,24.81
1522161152332,T2,24.75
1522161158378,T3,51.94
1522161159411,T1,24.81
1522161160436,T2,24.75
1522161166463,T3,51.94
1522161167501,T1,24.75
1522161168535,T2,24.75
1522161174566,T3,51.94
1522161175607,T1,24.75
1522161176642,T2,24.75
1522161182664,T3,51.94
1522161183700,T1,24.75
1522161184731,T2,24.75
1522161190778,T3,51.88
1522161191812,T1,24.69
1522161192841,T2,24.75
1522229425471,T3,26.69
1522229449971,T3,26.69
1522229451003,T1,26.19
1522229452024,T2,25.56
1522229458070,T3,26.62
1522229459103,T1,26.25
1522229460138,T2,25.56
1522240856623,T3,27.06
1522240857655,T1,26.06
1522240858682,T2,25.56
1522240864722,T3,27.12
1522240865755,T1,26.06
1522240866784,T2,25.56
1522240872817,T3,27.12
1522240873856,T1,26.06
1522240874878,T2,25.56
1522240880922,T3,27.31
1522240881956,T1,26.06
1522240882989,T2,25.56
1522240889012,T3,27.25
1522240890056,T1,26.06
1522240891080,T2,25.56
1522240897123,T3,27.19
1522240898158,T1,26.06
1522240899176,T2,25.56
1522240905219,T3,27.37
1522240906257,T1,26.06
1522240907278,T2,25.56
1522240913316,T3,27.50
1522240914342,T1,26.06
1522240915390,T2,25.56
1522240940462,T3,27.81
1522240941494,T1,26.06
1522240942530,T2,25.56
1522240948557,T3,27.81
1522240949592,T1,26.06
1522240950629,T2,25.56
1522240956662,T3,27.87
1522240957686,T1,26.06
1522240958720,T2,25.56
1522240964754,T3,28.06
1522240965792,T1,26.06
1522240966817,T2,25.56
1522240972863,T3,28.00
1522240973891,T1,26.06
1522240974925,T2,25.56
1522240980963,T3,27.75
1522240981996,T1,26.06
1522240983021,T2,25.56
1522240989063,T3,27.62
1522240990096,T1,26.06
1522240991130,T2,25.56
1522240997162,T3,27.50
1522240998198,T1,26.12
1522240999231,T2,25.56
1522241005264,T3,27.31
1522241006292,T1,26.12
1522241007327,T2,25.56
1522241013355,T3,27.31
1522241014386,T1,26.06
1522241015432,T2,25.56
1522241020978,T3,27.50
1522241022006,T1,26.12
1522241023033,T2,25.56
1522241029076,T3,27.31
1522241030096,T1,26.12
1522242834894,T3,27.50
1522242835924,T1,26.25
1522242836950,T2,25.69
1522242842994,T3,27.44
1522242853078,T3,27.69
1522242854111,T1,26.25
1522242855144,T2,25.75
1522242861180,T3,27.56
1522242973221,T3,27.37
1522242974263,T1,26.25
1522242975292,T2,25.75
1522242981315,T3,27.31
1522242982361,T1,26.31
1522242983394,T2,25.75
1522243001203,T3,27.31
1522243002228,T1,26.31
1522243003270,T2,25.81
1522243107996,T3,27.37
1522243109029,T1,26.37
1522243110063,T2,25.87
1522243116095,T3,27.37
1522243117130,T1,26.37
1522243145742,T3,27.44
1522243146776,T1,26.31
1522243147808,T2,25.81
1522243153844,T3,27.19
1522243154875,T1,26.31
1522243155893,T2,25.81
1522306226063,T3,22.06
1522306227115,T1,22.12
1522306228237,T2,21.75
1522306237133,T3,22.19
1522306238132,T1,22.25
1522306239213,T2,21.94
1522306245238,T3,22.25
1522306246237,T1,22.31
1522306247367,T2,22.12
1522306253292,T3,22.25
1522306254425,T1,22.31
1522306255381,T2,22.06
1522306429964,T3,21.62
1522306431008,T1,21.81
1522306432078,T2,21.19
1522306816673,T3,22.12
1522306817666,T1,22.19
1522306818766,T2,21.75
1522306824719,T3,22.12
1522306825766,T1,22.25
1522306826810,T2,22.12
1522306832832,T3,22.12
1522306833833,T1,22.25
1522306834908,T2,21.94
1522306840915,T3,22.00
1522306841990,T1,22.12
1522306843011,T2,21.75
1522306849030,T3,22.00
1522306850093,T1,22.06
1522306851121,T2,21.69
1522306857141,T3,22.00
1522306858177,T1,22.06
1522306859195,T2,21.56
1522306865247,T3,21.94
1522306866275,T1,22.06
1522306867283,T2,21.50
1522306902283,T3,22.00
1522306903283,T1,22.19
1522306904306,T2,21.75
1522306963159,T3,22.37
1522306964261,T1,22.44
1522306965285,T2,22.31
1522306971367,T3,22.31
1522306972348,T1,22.44
1522306973373,T2,22.12
1522307080774,T3,22.56
1522307081757,T1,22.62
1522307082787,T2,22.87
1522307088837,T3,22.56
1522307089907,T1,22.69
1522307090937,T2,22.87
1522307096933,T3,22.62
1522307098063,T1,22.69
1522307099002,T2,22.94
1522307105068,T3,22.62
1522307118894,T3,22.69
1522307119907,T1,22.75
1522307120906,T2,23.12
1522307126919,T3,22.69
1522307226730,T3,23.06
1522307227712,T1,23.00
1522307228768,T2,23.50
1522307234782,T3,23.06
1522307235821,T1,23.00
1522307236876,T2,23.50
1522307242889,T3,23.06
1522307243912,T1,23.00
1522307244946,T2,23.50
1522307251041,T3,23.06
1522307252042,T1,23.00
1522307582812,T3,23.00
1522307583847,T1,22.94
1522307584868,T2,23.31
1522307590930,T3,23.00
1522307591899,T1,22.94
1522308020811,T3,23.12
1522310448079,T3,23.75
1522310449088,T1,23.56
1522310450118,T2,26.00
1522310456175,T3,23.75
1522310475356,T3,23.81
1522310476437,T1,23.62
1522311504323,T3,24.12
1522311505288,T1,23.81
1522311506312,T2,26.06
1522311512284,T3,24.12
1522311513377,T1,23.81
1522311514418,T2,26.12
1522311520444,T3,24.12
1522311521466,T1,23.81
1522311522479,T2,26.06
