time,id,temp
1522753696513,T3,26.19
1522753697531,T1,24.81
1522753698574,T2,25.56
1522753704610,T3,26.31
1522753705644,T1,24.81
1522753706680,T2,25.62
1522753712701,T3,26.69
1522753713743,T1,24.81
1522753714782,T2,25.69
1522753720814,T3,26.62
1522753721833,T1,24.87
1522753722880,T2,25.94
1522753728913,T3,26.37
1522753729944,T1,24.87
1522753730969,T2,26.00
1522753737014,T3,26.56
1522753738034,T1,24.87
1522753739074,T2,26.00
1522753745111,T3,26.56
1522753746145,T1,24.81
1522753747169,T2,26.06
1522753753215,T3,26.62
1522753754250,T1,24.81
1522753755280,T2,26.12
1522753761314,T3,26.50
1522753762345,T1,24.81
1522753763382,T2,26.12
1522753769411,T3,26.69
1522753770445,T1,24.81
1522753771470,T2,26.12
1522753777503,T3,26.75
1522753778544,T1,24.81
1522753779573,T2,26.06
1522753785615,T3,27.00
1522753786645,T1,24.81
1522753787675,T2,26.06
1522753793707,T3,27.25
1522753794743,T1,24.81
1522753795783,T2,26.00
1522753801812,T3,27.12
1522753802835,T1,24.87
1522753803867,T2,26.06
1522753809907,T3,26.94
1522753810945,T1,24.87
1522753811980,T2,26.19
1522753818011,T3,26.62
1522753819037,T1,24.87
1522753820081,T2,26.25
1522753826116,T3,26.31
1522753827146,T1,24.87
1522753828177,T2,26.25
1522753834205,T3,26.12
1522753835245,T1,24.94
1522753836283,T2,26.31
1522753842309,T3,25.94
1522753843337,T1,24.87
1522753844384,T2,26.19
1522753850413,T3,25.62
1522753851445,T1,24.87
1522753852482,T2,26.00
1522753858512,T3,25.37
1522753859548,T1,24.94
1522753860583,T2,25.87
1522753866606,T3,25.19
1522753867648,T1,24.87
1522753868668,T2,25.75
1522753874714,T3,25.12
1522753875746,T1,24.94
1522753876779,T2,25.69
1522753882815,T3,25.19
1522753883846,T1,25.00
1522753884868,T2,25.62
1522753890913,T3,25.12
1522753891949,T1,24.94
1522753892974,T2,25.69
1522753899012,T3,25.06
1522753900034,T1,24.94
1522753901084,T2,25.69
1522753907114,T3,25.25
1522753908145,T1,24.94
1522753909182,T2,25.69
1522753915215,T3,25.87
1522753916251,T1,25.00
1522753917280,T2,25.69
1522753923311,T3,26.69
1522753924338,T1,25.00
1522753925374,T2,25.69
