time,id,temp
1523263027276,T3,30.75
1523263028244,T1,25.56
1523263029496,T2,24.81
1523263035352,T3,30.81
1523263036582,T1,25.56
1523263037425,T2,24.81
1523263043495,T3,30.81
1523263044549,T1,25.56
1523263045569,T2,24.81
1523263051597,T3,31.56
1523263052526,T1,25.56
1523263053557,T2,25.00
1523263059669,T3,32.25
1523263060707,T1,25.62
1523263061872,T2,25.94
1523263067703,T3,32.13
1523263068724,T1,25.69
1523263069937,T2,26.94
1523263075901,T3,31.94
1523263076907,T1,25.75
1523263078032,T2,27.69
1523263083883,T3,31.44
1523263085106,T1,25.69
1523263086412,T2,28.25
1523263091943,T3,30.87
1523263092975,T1,25.69
1523263094008,T2,28.62
1523263100136,T3,30.50
1523263101243,T1,25.69
1523263102300,T2,28.94
1523263108142,T3,30.12
1523263109176,T1,25.69
1523263110219,T2,29.12
1523263116291,T3,29.81
1523263117345,T1,25.69
1523263118328,T2,29.19
1523263124343,T3,29.62
1523263125376,T1,25.69
1523263126428,T2,29.37
1523263132443,T3,29.75
1523263133476,T1,25.75
1523263134510,T2,29.56
1523263140752,T3,29.69
1523263141739,T1,25.75
1523263142610,T2,29.69
1523263148644,T3,29.81
1523263149682,T1,25.75
1523263150710,T2,29.87
1523263156742,T3,29.75
1523263157780,T1,25.75
1523263158812,T2,30.00
1523263164854,T3,29.69
1523263165876,T1,25.75
1523263166911,T2,30.12
1523263172943,T3,29.56
1523263173979,T1,25.81
1523263175012,T2,30.25
1523263181045,T3,29.50
1523263182077,T1,25.81
1523263183163,T2,30.31
1523263189144,T3,29.44
1523263190177,T1,25.81
1523263191212,T2,30.25
1523263197254,T3,33.69
1523263198336,T1,25.81
1523263199313,T2,30.31
1523263205536,T3,42.50
1523263206439,T1,25.81
1523263207598,T2,30.31
1523263213495,T3,40.69
1523263214505,T1,25.81
1523263215531,T2,30.37
1523263221807,T3,39.06
1523263222579,T1,25.81
1523263223695,T2,30.69
1523263229656,T3,37.38
1523263230698,T1,25.81
1523263232270,T2,30.87
1523263237800,T3,35.94
